POINT,EASTING,NORTHING,ELEVATION
0.1,271540.0078,2104023.106,-14.0345
0.2,271539.4352,2104021.163,-14.8764
0.3,271539.1851,2104020.342,-16.8647
0.4,271539.4167,2104021.149,-18.983
0.5,271539.9678,2104023.223,-19.7969
0.6,271540.5851,2104025.107,-18.9582
0.7,271540.8209,2104025.9,-16.9157
0.8,271540.5821,2104025.049,-14.8396
1.1,271538.6835,2104023.545,-14.0183
1.2,271538.0962,2104021.62,-14.8295
1.3,271537.8236,2104020.759,-16.8915
1.4,271538.0511,2104021.547,-18.9601
1.5,271538.632,2104023.626,-19.8214
1.6,271539.2521,2104025.475,-18.9944
1.7,271539.5086,2104026.299,-16.9505
1.8,271539.2717,2104025.493,-14.8766
2.1,271537.3354,2104023.988,-14.0263
2.2,271536.7141,2104021.989,-14.8746
2.3,271536.4657,2104021.184,-16.9413
2.4,271536.7222,2104021.976,-18.9788
2.5,271537.3454,2104024.001,-19.8289
2.6,271537.9448,2104025.9,-18.9723
2.7,271538.1858,2104026.711,-16.9414
2.8,271537.9325,2104025.902,-14.8726
3.1,271536.0093,2104024.368,-14.0292
3.2,271535.4092,2104022.415,-14.8569
3.3,271535.1455,2104021.587,-16.8798
3.4,271535.3863,2104022.401,-18.9832
3.5,271535.996,2104024.452,-19.827
3.6,271536.5811,2104026.322,-18.9849
3.7,271536.8305,2104027.125,-16.9152
3.8,271536.5948,2104026.314,-14.8872
4.1,271534.6531,2104024.784,-14.035
4.2,271534.0412,2104022.809,-14.8727
4.3,271533.7925,2104022,-16.9337
4.4,271534.0483,2104022.811,-18.9866
4.5,271534.6452,2104024.785,-19.8292
4.6,271535.262,2104026.709,-18.9905
4.7,271535.5095,2104027.525,-16.9367
4.8,271535.2581,2104026.734,-14.8935
5.1,271533.348,2104025.164,-14.0267
5.2,271532.7414,2104023.176,-14.8989
5.3,271532.4953,2104022.396,-16.868
5.4,271532.7258,2104023.2,-18.9682
5.5,271533.3294,2104025.21,-19.8241
5.6,271533.9154,2104027.119,-18.9919
5.7,271534.176,2104027.928,-16.9083
5.8,271533.9416,2104027.137,-14.8898
6.1,271531.9951,2104025.585,-14.0213
6.2,271531.3871,2104023.623,-14.8721
6.3,271531.1385,2104022.809,-16.8977
6.4,271531.3818,2104023.589,-18.9464
6.5,271532.0056,2104025.611,-19.8253
6.6,271532.5979,2104027.511,-18.9997
6.7,271532.855,2104028.332,-16.9314
6.8,271532.604,2104027.532,-14.8791
7.1,271530.6706,2104025.985,-14.0191
7.2,271530.0687,2104024.011,-14.8884
7.3,271529.8181,2104023.216,-16.9301
7.4,271530.0515,2104024.027,-18.9861
7.5,271530.6283,2104025.961,-19.8278
7.6,271531.2318,2104027.918,-18.9995
7.7,271531.4984,2104028.747,-16.8937
7.8,271531.2604,2104027.935,-14.8705
8.1,271529.3257,2104026.37,-14.007
8.2,271528.7456,2104024.415,-14.8739
8.3,271528.4989,2104023.608,-16.8921
8.4,271528.7227,2104024.408,-18.9701
8.5,271529.2875,2104026.399,-19.8251
8.6,271529.874,2104028.327,-18.9873
8.7,271530.1317,2104029.152,-16.9288
8.8,271529.9081,2104028.362,-14.8798
9.1,271527.9816,2104026.762,-14.0027
9.2,271527.3846,2104024.816,-14.8636
9.3,271527.1307,2104024.012,-16.9135
9.4,271527.3667,2104024.823,-18.9788
9.5,271527.9441,2104026.801,-19.8258
9.6,271528.5503,2104028.724,-18.9773
9.7,271528.8103,2104029.537,-16.8674
9.8,271528.5874,2104028.763,-14.8901
10.1,271526.6329,2104027.143,-14.0044
10.2,271526.0522,2104025.186,-14.8781
10.3,271525.8105,2104024.401,-16.8728
10.4,271526.0365,2104025.203,-18.9571
10.5,271526.6243,2104027.221,-19.8198
10.6,271527.1924,2104029.136,-18.9736
10.7,271527.4441,2104029.944,-16.9265
10.8,271527.2122,2104029.122,-14.8485
11.1,271525.2728,2104027.544,-14.0039
11.2,271524.7117,2104025.581,-14.8618
11.3,271524.4806,2104024.777,-16.9353
11.4,271524.7199,2104025.595,-18.9752
11.5,271525.3096,2104027.654,-19.8182
11.6,271525.8478,2104029.52,-18.9761
11.7,271526.0812,2104030.334,-16.9034
11.8,271525.8481,2104029.539,-14.8815
12.1,271523.9395,2104027.904,-14.0119
12.2,271523.3554,2104025.947,-14.8842
12.3,271523.1135,2104025.167,-16.8349
12.4,271523.3454,2104025.977,-18.9738
12.5,271523.9428,2104027.938,-19.8236
12.6,271524.4953,2104029.882,-18.998
12.7,271524.7514,2104030.707,-16.9162
12.8,271524.5277,2104029.918,-14.8848
13.1,271522.5729,2104028.289,-14.0118
13.2,271522.0087,2104026.335,-14.8782
13.3,271521.7839,2104025.538,-16.9364
13.4,271522.0194,2104026.338,-18.9714
13.5,271522.6244,2104028.307,-19.8239
13.6,271523.1551,2104030.286,-18.9744
13.7,271523.3834,2104031.081,-16.8738
13.8,271523.1545,2104030.298,-14.8915
14.1,271521.252,2104028.678,-14.012
14.2,271520.6887,2104026.711,-14.8728
14.3,271520.4456,2104025.914,-16.8448
14.4,271520.6631,2104026.726,-18.9714
14.5,271521.2193,2104028.695,-19.8247
14.6,271521.7779,2104030.652,-18.9891
14.7,271522.0267,2104031.468,-16.9076
14.8,271521.7989,2104030.616,-14.8303
15.1,271519.8815,2104029.044,-14.0104
15.2,271519.3439,2104027.103,-14.8525
15.3,271519.1167,2104026.28,-16.863
15.4,271519.3377,2104027.091,-18.9694
15.5,271519.8863,2104028.995,-19.8208
15.6,271520.4363,2104031.05,-18.96
15.7,271520.6558,2104031.846,-16.8687
15.8,271520.4351,2104031.037,-14.8667
16.1,271518.5319,2104029.423,-14.0078
16.2,271518.0049,2104027.455,-14.8624
16.3,271517.7868,2104026.636,-16.88
16.4,271518.005,2104027.457,-18.9748
16.5,271518.5171,2104029.353,-19.8168
16.6,271519.0692,2104031.434,-18.9424
16.7,271519.2867,2104032.218,-16.9005
16.8,271519.0643,2104031.393,-14.8454
17.1,271517.1791,2104029.785,-14.0064
17.2,271516.6392,2104027.837,-14.8434
17.3,271516.4105,2104027.009,-16.8748
17.4,271516.6342,2104027.819,-18.9644
