POINT,CHAINAGE,EASTING,NORTHING,ELEVATION
1,13180,270521.9023,2103311.043,-12.23
2,13181,270522.3965,2103311.912,-12.23
3,13182,270522.8906,2103312.782,-12.23
4,13183,270523.3848,2103313.651,-12.23
5,13184,270523.879,2103314.521,-12.23
6,13185,270524.3731,2103315.39,-12.23
7,13186,270524.8673,2103316.259,-12.23
8,13187,270525.3615,2103317.129,-12.23
9,13188,270525.8556,2103317.998,-12.23
10,13189,270526.3498,2103318.867,-12.23
11,13190,270526.844,2103319.737,-12.23
12,13191,270527.3381,2103320.606,-12.23
13,13192,270527.8323,2103321.475,-12.23
14,13193,270528.3265,2103322.345,-12.23
15,13194,270528.8206,2103323.214,-12.23
16,13195,270529.3148,2103324.084,-12.23
17,13196,270529.809,2103324.953,-12.23
18,13197,270530.3032,2103325.822,-12.23
19,13198,270530.7973,2103326.692,-12.23
20,13199,270531.2915,2103327.561,-12.23
21,13200,270531.7857,2103328.43,-12.23000008
22,13201,270532.2798,2103329.3,-12.23017425
23,13202,270532.774,2103330.169,-12.23068176
24,13203,270533.2682,2103331.038,-12.23152261
25,13204,270533.7623,2103331.908,-12.23269679
26,13205,270534.2565,2103332.777,-12.23420431
27,13206,270534.7507,2103333.647,-12.23604517
28,13207,270535.2448,2103334.516,-12.23821936
29,13208,270535.739,2103335.385,-12.2407269
30,13209,270536.2332,2103336.255,-12.24356777
31,13210,270536.7273,2103337.124,-12.24674198
32,13211,270537.2215,2103337.993,-12.25024953
33,13212,270537.7157,2103338.863,-12.25409041
34,13213,270538.2098,2103339.732,-12.25826464
35,13214,270538.704,2103340.601,-12.2627722
36,13215,270539.1982,2103341.471,-12.2676131
37,13216,270539.6923,2103342.34,-12.27278734
38,13217,270540.1865,2103343.21,-12.27829491
39,13218,270540.6807,2103344.079,-12.28413582
40,13219,270541.1748,2103344.948,-12.29031008
41,13220,270541.669,2103345.818,-12.29681766
42,13221,270542.1632,2103346.687,-12.30365859
43,13222,270542.6573,2103347.556,-12.31083286
44,13223,270543.1515,2103348.426,-12.31834046
45,13224,270543.6457,2103349.295,-12.3261814
46,13225,270544.1398,2103350.165,-12.33435568
47,13226,270544.634,2103351.034,-12.34286329
48,13227,270545.1282,2103351.903,-12.35170425
49,13228,270545.6223,2103352.773,-12.36087854
50,13229,270546.1165,2103353.642,-12.37038617
51,13230,270546.6107,2103354.511,-12.38022714
52,13231,270547.1049,2103355.381,-12.39040145
53,13232,270547.599,2103356.25,-12.40090909
54,13233,270548.0932,2103357.119,-12.41168611
55,13234,270548.5874,2103357.989,-12.42248725
56,13235,270549.0815,2103358.858,-12.4332884
57,13236,270549.5757,2103359.728,-12.44408955
58,13237,270550.0699,2103360.597,-12.4548907
59,13238,270550.564,2103361.466,-12.46569184
60,13239,270551.0582,2103362.336,-12.47649299
61,13240,270551.5524,2103363.205,-12.48729414
62,13241,270552.0465,2103364.074,-12.49809529
63,13242,270552.5407,2103364.944,-12.50889644
64,13243,270553.0349,2103365.813,-12.51969758
65,13244,270553.529,2103366.682,-12.53049873
66,13245,270554.0232,2103367.552,-12.54129988
67,13246,270554.5174,2103368.421,-12.55210103
68,13247,270555.0115,2103369.291,-12.56290217
69,13248,270555.5057,2103370.16,-12.57370332
70,13249,270555.9999,2103371.029,-12.58450447
71,13250,270556.494,2103371.899,-12.59530562
72,13251,270556.9882,2103372.768,-12.60610677
73,13252,270557.4824,2103373.637,-12.61690791
74,13253,270557.9765,2103374.507,-12.62770906
75,13254,270558.4707,2103375.376,-12.63851021
76,13255,270558.9664,2103376.245,-12.6487572
77,13256,270559.4631,2103377.113,-12.65863335
78,13257,270559.9599,2103377.98,-12.66850949
79,13258,270560.4567,2103378.848,-12.67838564
80,13259,270560.9537,2103379.716,-12.68826179
81,13260,270561.4509,2103380.584,-12.69813794
82,13261,270561.9482,2103381.451,-12.70801408
83,13262,270562.4458,2103382.319,-12.71789023
84,13263,270562.9437,2103383.186,-12.72776638
85,13264,270563.4419,2103384.053,-12.73764253
86,13265,270563.9404,2103384.92,-12.74751868
87,13266,270564.4393,2103385.786,-12.75739482
88,13267,270564.9387,2103386.653,-12.76727097
89,13268,270565.4384,2103387.519,-12.77714712
90,13269,270565.9387,2103388.385,-12.78702327
91,13270,270566.4395,2103389.25,-12.79689941
92,13271,270566.9409,2103390.116,-12.80677556
93,13272,270567.4428,2103390.98,-12.81665171
94,13273,270567.9454,2103391.845,-12.82652786
95,13274,270568.4486,2103392.709,-12.836404
96,13275,270568.9526,2103393.573,-12.84628015
97,13276,270569.4573,2103394.436,-12.8561563
98,13277,270569.9627,2103395.299,-12.86603245
99,13278,270570.469,2103396.161,-12.8759086
100,13279,270570.9761,2103397.023,-12.88578474
101,13280,270571.4841,2103397.884,-12.89566089
102,13281,270571.9931,2103398.745,-12.90553704
103,13282,270572.5029,2103399.605,-12.91541319
104,13283,270573.0138,2103400.465,-12.92528933
105,13284,270573.5256,2103401.324,-12.93516548
106,13285,270574.0386,2103402.182,-12.94504163
107,13286,270574.5526,2103403.04,-12.95491778
108,13287,270575.0677,2103403.896,-12.96479393
109,13288,270575.584,2103404.753,-12.97467007
