RING NO.,EASTING,NORTHING,ELEVATION,CHAINAGE,dHz,dVt,R_Average
0.0,271539.99780431093,2104023.1221353593,-16.924634088571153,14482.262475143365,0.05251626720657192,-0.0019123170240007425,2.894739529400608
1.0,271538.6605541599,2104023.5314021357,-16.92518522399827,14480.863827823301,0.05040196554797391,-0.00381123495462532,2.8994159288392805
2.0,271537.32691609726,2104023.944101624,-16.92761146721898,14479.467814263442,0.043080175798192615,-0.007582732682156035,2.8996659437673964
3.0,271535.98893477,2104024.3560718293,-16.931386160598578,14478.067793265076,0.035865888439894175,-0.012706532974551266,2.898010306280335
4.0,271534.6490971177,2104024.762737125,-16.93061301992637,14476.667409241321,0.0320782212023061,-0.013282854359154328,2.8973315164038045
5.0,271533.3334576669,2104025.164093268,-16.925987510829856,14475.291963539406,0.025186001820722774,-0.009982773084743712,2.8976284196508093
6.0,271531.9953016745,2104025.572959488,-16.925485491988795,14473.892683682827,0.01514576831176181,-0.01082915521151051,2.8976987407405583
7.0,271530.6554139888,2104025.9813824487,-16.925505358088657,14472.491642058929,0.0030706420808417705,-0.012199112134990031,2.8977567137806406
8.0,271529.3120510636,2104026.3810623535,-16.918186119961078,14471.089988986469,-0.002450636647697568,-0.006230562974156584,2.899573642754677
9.0,271527.9681699362,2104026.775501235,-16.91469210046398,14469.689332010106,-0.005033771891470487,-0.004086262565763832,2.899854850894123
10.0,271526.62658030994,2104027.172700647,-16.912771328438538,14468.289997546797,-0.014324270767439458,-0.0035139452025418905,2.899559913421406
11.0,271525.28023522196,2104027.555042041,-16.913526190651524,14466.890307454381,-0.011425513290103754,-0.005617594776182955,2.9003482757761145
12.0,271523.9355425583,2104027.935646714,-16.917831321680836,14465.492619255254,-0.010578510790864349,-0.011269588987897095,2.89963172921808
13.0,271522.5879316305,2104028.3094993043,-16.921205343199773,14464.09407126545,-0.006127626373365635,-0.01599130236553492,2.8981532538669117
14.0,271521.2363568877,2104028.690694856,-16.919803631944433,14462.689710665038,-0.011865032891395094,-0.015942886056279804,2.8980604361615954
15.0,271519.8886927593,2104029.0630800193,-16.917382400749773,14461.291203411467,-0.014472883526257535,-0.014869305494347174,2.8980786565601258
16.0,271518.5353781377,2104029.429097695,-16.914445417766586,14459.88901005543,-0.013818048044905351,-0.013283531006869964,2.8987807530668848
17.0,271517.1852920691,2104029.791308637,-16.912054766142774,14458.490834135342,-0.014982227438680011,-0.012240208736592706,2.898098343086588
